"MEASURE","Measure","INDEX","Index type","SECTOR","Sector","INDUSTRY","Industry","REGION","Region","TSEST","Adjustment type","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2000-Q1","Mar-2000",72.9,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2000-Q2","Jun-2000",73.3,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2000-Q3","Sep-2000",74.1,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2000-Q4","Dec-2000",74.8,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2001-Q1","Mar-2001",75.2,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2001-Q2","Jun-2001",76,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2001-Q3","Sep-2001",77,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2001-Q4","Dec-2001",77.4,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2002-Q1","Mar-2002",77.8,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2002-Q2","Jun-2002",78.5,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2002-Q3","Sep-2002",79.6,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2002-Q4","Dec-2002",80.2,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2003-Q1","Mar-2003",80.6,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2003-Q2","Jun-2003",81.1,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2003-Q3","Sep-2003",82.1,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2003-Q4","Dec-2003",82.7,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2004-Q1","Mar-2004",83.1,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2004-Q2","Jun-2004",83.9,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2004-Q3","Sep-2004",84.9,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2004-Q4","Dec-2004",85.6,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2005-Q1","Mar-2005",86.6,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2005-Q2","Jun-2005",87.3,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2005-Q3","Sep-2005",88.3,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2005-Q4","Dec-2005",89.1,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2006-Q1","Mar-2006",89.8,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2006-Q2","Jun-2006",90.7,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2006-Q3","Sep-2006",91.4,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2006-Q4","Dec-2006",92.1,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2007-Q1","Mar-2007",93.1,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2007-Q2","Jun-2007",93.8,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2007-Q3","Sep-2007",94.8,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2007-Q4","Dec-2007",95.8,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2008-Q1","Mar-2008",96.8,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2008-Q2","Jun-2008",97.9,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2008-Q3","Sep-2008",98.7,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2008-Q4","Dec-2008",99.9,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2009-Q1","Mar-2009",100.4,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2009-Q2","Jun-2009",101,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2009-Q3","Sep-2009",101.5,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2009-Q4","Dec-2009",102.3,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2010-Q1","Mar-2010",102.9,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2010-Q2","Jun-2010",103.4,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2010-Q3","Sep-2010",105.2,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2010-Q4","Dec-2010",106.1,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2011-Q1","Mar-2011",107,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2011-Q2","Jun-2011",107.8,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2011-Q3","Sep-2011",109,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2011-Q4","Dec-2011",110.1,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2012-Q1","Mar-2012",110.8,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2012-Q2","Jun-2012",111.8,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2012-Q3","Sep-2012",112.9,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2012-Q4","Dec-2012",114,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2013-Q1","Mar-2013",114.5,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2013-Q2","Jun-2013",115.3,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2013-Q3","Sep-2013",116.3,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2013-Q4","Dec-2013",116.8,,
